   0.500000000E-02  -0.689900000E+01  -0.267282300E+02  -0.247805200E+02  -0.226803000E+02  -0.504691000E+02  -0.181332100E+02  -0.368736000E+02  -0.845094000E+02  -0.298749000E+02
   0.150000000E-01  -0.844600000E+01  -0.399080000E+02  -0.580840000E+02  -0.469960000E+02  -0.123687600E+03  -0.945949800E+02  -0.784530000E+02  -0.219343400E+03  -0.179434290E+03
   0.250000000E-01  -0.463000000E+01  -0.273250000E+02  -0.423351000E+02  -0.355050000E+02  -0.106697000E+03  -0.110740063E+03  -0.555070000E+02  -0.182002000E+03  -0.203155400E+03
   0.350000000E-01  -0.406000000E+01  -0.157000000E+02  -0.285026300E+02  -0.246080000E+02  -0.786470000E+02  -0.907004400E+02  -0.340200000E+02  -0.118082000E+03  -0.138520500E+03
   0.450000000E-01  -0.259000000E+01  -0.932300000E+01  -0.159606000E+02  -0.181440000E+02  -0.595160000E+02  -0.718464200E+02  -0.243730000E+02  -0.839630000E+02  -0.111540500E+03
   0.550000000E-01  -0.116000000E+01  -0.712600000E+01  -0.123711000E+02  -0.138380000E+02  -0.465310000E+02  -0.583651000E+02  -0.172670000E+02  -0.616800000E+02  -0.860379000E+02
   0.650000000E-01  -0.154000000E+01  -0.420100000E+01  -0.919220000E+01  -0.112450000E+02  -0.382980000E+02  -0.484293200E+02  -0.122180000E+02  -0.469190000E+02  -0.676362000E+02
   0.750000000E-01  -0.124000000E+01  -0.507900000E+01  -0.521360000E+01  -0.898100000E+01  -0.314960000E+02  -0.398115300E+02  -0.961700000E+01  -0.373200000E+02  -0.521166000E+02
   0.850000000E-01  -0.920000000E+00  -0.247700000E+01  -0.391620000E+01  -0.744200000E+01  -0.264100000E+02  -0.341771100E+02  -0.755600000E+01  -0.334990000E+02  -0.418168000E+02
   0.950000000E-01  -0.120000000E+00  -0.332500000E+01  -0.341420000E+01  -0.659100000E+01  -0.214960000E+02  -0.279911000E+02  -0.586600000E+01  -0.227890000E+02  -0.311971420E+02
   0.105000000E+00   0.120000000E+00  -0.637000000E+00  -0.536380000E+01  -0.547200000E+01  -0.186850000E+02  -0.241422700E+02  -0.455800000E+01  -0.167970000E+02  -0.247628700E+02
   0.115000000E+00  -0.500000000E-01  -0.189000000E+00  -0.414870000E+01  -0.513500000E+01  -0.171370000E+02  -0.217502700E+02  -0.395400000E+01  -0.165730000E+02  -0.205150150E+02
   0.125000000E+00   0.690000000E+00  -0.101400000E+01  -0.380740000E+01  -0.432200000E+01  -0.148990000E+02  -0.176411400E+02  -0.192800000E+01  -0.140120000E+02  -0.159000400E+02
   0.135000000E+00  -0.790000000E+00  -0.193000000E+00  -0.826700000E+00  -0.381600000E+01  -0.134940000E+02  -0.170876500E+02  -0.207300000E+01  -0.111130000E+02  -0.153880600E+02
   0.145000000E+00  -0.560000000E+00   0.888000000E+00  -0.851400000E+00  -0.361400000E+01  -0.127500000E+02  -0.157492400E+02  -0.158400000E+01  -0.976600000E+01  -0.119520000E+02
   0.155000000E+00  -0.500000000E-01   0.325000000E+00   0.819800000E+00  -0.329800000E+01  -0.107560000E+02  -0.132920100E+02  -0.162100000E+01  -0.969500000E+01  -0.111520000E+02
   0.165000000E+00   0.490000000E+00  -0.155600000E+01  -0.565000000E-01  -0.291100000E+01  -0.101680000E+02  -0.128312200E+02  -0.143100000E+01  -0.723900000E+01  -0.779510000E+01
   0.175000000E+00  -0.100000000E-01  -0.244000000E+01  -0.315490000E+01  -0.282300000E+01  -0.954900000E+01  -0.110448680E+02  -0.129800000E+01  -0.591700000E+01  -0.842580000E+01
   0.185000000E+00  -0.460000000E+00   0.434000000E+00  -0.224510000E+01  -0.243300000E+01  -0.834300000E+01  -0.108785600E+02  -0.125600000E+01  -0.534800000E+01  -0.599230000E+01
   0.195000000E+00  -0.120000000E+00   0.161900000E+01  -0.177140000E+01  -0.238700000E+01  -0.740100000E+01  -0.951897000E+01  -0.147700000E+01  -0.464100000E+01  -0.667960000E+01
   0.205000000E+00  -0.480000000E+00  -0.270000000E-01  -0.450900000E+00  -0.247400000E+01  -0.769000000E+01  -0.966986000E+01  -0.307000000E+00  -0.344500000E+01  -0.581530000E+01
